objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587750860901318910,7243,40,2,116,254,6,112.38683582,-13.94344143,20.556274,19.102648,18.378847,18.049053,17.754339,0.102256,0.011104,8.635571E-3,7.956647E-3,0.019342
587750860901318911,7243,40,2,116,255,6,112.38263296,-13.93957779,22.086716,20.064947,19.01145,18.654383,18.306675,0.373026,0.020477,0.01248,0.011056,0.029246
587750860901318912,7243,40,2,116,256,6,112.38752982,-13.94437599,22.076204,20.155571,19.306597,18.932669,18.641886,0.369983,0.021851,0.015168,0.013178,0.03827
587750860901318913,7243,40,2,116,257,6,112.38071423,-13.94028587,24.810448,23.484024,22.382706,20.901474,20.053753,1.901789,0.327591,0.180455,0.060035,0.126359
587750860901318932,7243,40,2,116,276,6,112.40309761,-13.97483554,17.966326,16.463066,16.282572,16.242064,16.164906,0.017341,3.830761E-3,4.09253E-3,4.519294E-3,7.39054E-3
587750860901318946,7243,40,2,116,290,6,112.39301231,-13.95115544,15.821294,14.55528,14.151789,14.028372,13.962142,5.768269E-3,2.992264E-3,3.337009E-3,3.841221E-3,3.704916E-3
587750860901318947,7243,40,2,116,291,6,112.39639523,-13.95009353,17.312954,16.030931,15.552222,15.371623,15.255985,0.011581,3.478607E-3,3.65541E-3,4.050255E-3,5.000704E-3
587750860901318948,7243,40,2,116,292,6,112.39894864,-13.95116917,22.611872,20.92601,20.055099,19.712797,19.33959,0.591332,0.038953,0.025981,0.023014,0.068742
587750860901318949,7243,40,2,116,293,6,112.39858838,-13.94949013,25.724131,22.740047,21.509264,20.783295,20.272511,1.232945,0.175706,0.08509,0.054507,0.153353
587750860901318950,7243,40,2,116,294,3,112.39538362,-13.9519446,22.847248,23.70821,22.13092,21.639879,21.078209,0.723501,0.390045,0.146184,0.114146,0.306657
587750860901318961,7243,40,2,116,305,6,112.38839373,-13.94059156,17.168158,15.679614,15.387058,15.291842,15.209702,0.010713,3.293944E-3,3.601871E-3,4.021902E-3,4.923152E-3
587750860901318962,7243,40,2,116,306,6,112.39060193,-13.94314882,18.164267,16.75004,16.161175,15.928085,15.78482,0.018768,4.069002E-3,4.004001E-3,4.297188E-3,6.107791E-3
587750860901318963,7243,40,2,116,307,6,112.39317368,-13.94316547,18.12524,16.705479,16.205677,16.010427,15.868118,0.018328,4.009767E-3,4.025163E-3,4.35371E-3,6.332987E-3
587750860901318964,7243,40,2,116,308,6,112.38701162,-13.93923096,19.863256,18.434412,17.825617,17.586103,17.395557,0.059312,7.743332E-3,6.633114E-3,6.483627E-3,0.015067
587750860901318965,7243,40,2,116,309,6,112.38547136,-13.93877232,22.283955,21.762104,20.267885,19.241886,18.540735,0.442688,0.076008,0.030308,0.016188,0.035
587750860901318966,7243,40,2,116,310,6,112.38850083,-13.93795263,26.4571,23.207876,21.560251,20.745491,19.955017,0.687147,0.261163,0.088012,0.052444,0.116017
587750860901318967,7243,40,2,116,311,6,112.38673722,-13.93842623,25.131624,22.400688,21.414251,20.86219,21.014149,1.732946,0.138419,0.079686,0.059222,0.293686
587750860901318968,7243,40,2,116,312,6,112.38978046,-13.94091731,25.848568,24.394638,21.870394,21.031858,20.243839,1.126092,0.61697,0.115857,0.067163,0.149741
587750860901318969,7243,40,2,116,313,6,112.39362133,-13.94183751,24.551991,23.243437,22.415501,21.752199,21.163187,1.943346,0.268432,0.186126,0.125476,0.330781
587750860901319000,7243,40,2,116,344,6,112.4029506,-13.96449322,18.91592,17.550926,17.086504,16.897253,16.747269,0.02988,5.22468E-3,4.979481E-3,5.143625E-3,9.957962E-3
587750860901319001,7243,40,2,116,345,6,112.40214008,-13.96283933,20.667522,19.188299,18.474003,18.151337,17.908762,0.110852,0.011721,9.109168E-3,8.357239E-3,0.021452
587750860901319002,7243,40,2,116,346,6,112.40485188,-13.96388502,24.960049,21.576214,19.990692,19.408228,19.012806,1.86559,0.066374,0.02489,0.018571,0.052451
587750860901319003,7243,40,2,116,347,6,112.40181337,-13.96187939,23.97826,22.13199,20.981388,20.516254,20.18852,1.606716,0.104917,0.053975,0.04356,0.141665
587750860901319010,7243,40,2,116,354,6,112.38498593,-13.93074415,15.052361,13.706496,13.779665,13.755028,13.767838,4.442287E-3,2.931957E-3,8.278351E-3,3.943572E-3,3.658709E-3
